1;1. Строительство ЦППР на северном подучастке участка №2 Торткудук месторождения Моинкум - Increase of auxiliary areas on north sub-parcel of site №2 Tortkuduk of Moynkum deposit
10;10. Резервное водоснаб-е ЦППР от скваж №295:50 на уч Торткудук  Южный - Reserve water supply of produc solution treat workshop from the well №295:50 at TKDS
12;12 ~ Прожекторная мачта N1. Схема расположения элементов
12;12. Участок №2 Торткудук. ЦППР. Модернизация системы пожаротушения. - Site No.2 Tortkuduk.  Treatment Workshop. Upgrading of Fire Fighting System
13;13. Строительство нов магист трубопр-в для перекачки раст-в ПР и ВР между уч №2 Торткудук «Южный» и подуч «Северный» мест Моинкум
14;14. АСУ ТП-расширение участка №2 Торткудук месторождения Моинкум - APCS-Increase of Prod Capacity at TKDS
15;15. Реконструкция и расширение системы пожарной сигнализации на уч №1 Южный мест Моинкум - Reconstruction and extension of Fire alarm system at MYKS
16;16. Гидрав сети распр-я пром растворов на уч №1 «Южный» мест Моинкум для труб сети М2 и М4 - Hydraulic networks on distr-n of indust. solutions at MYKS for M2 and M4
17;17. Центральный склад площадью 6000м3 на уч Торткудук Южный - TKDS Central Warehouse
18;18. Гидрав сети распр-я пром растворов к блокам TUS-14, TUS-15...TUS-19 на уч №2 Торткудук Южный мест Моинкум
19;19. Гидрав сети распр-я пром растворов к блокам TNU-01 и TNU-02 на уч №2 Торткудук Северный мест Моинкум
2;2. Расширение вспомагательных участков на северном подучастке участка №2 Торткудук месторождения Моинкум - Increase of auxiliary areas on TKDN
20;20. Гидрав сети распр-я пром растворов к блокам TSU-27, TSU-28 на уч №2 Торткудук Южный мест Моинкум
21;21. Строительство трубопроводов распр-я пром растворов на ГТП-1 (MSU-29, MSU-31, MSU-33, MSU-35, MSU-37) уч №1 Южный Моинкум
22;22. Система ливневой канализации на участках Торткудук Южный (участок №2) меторождения Моинкум - Storm sewage system at TKDS
23;23. Система ливневой канализации на участках Торткудук Северный (участок №6) меторождения Моинкум - Storm sewage system at TKDN
24;24. Гидрав сети трубопроводов распр-я пром растворов к блокам TSU-29, TSU-30, TSU-31, TSU-32, TSU-33 на уч №2 Торткудук Южный мест Моинкум
25;25. Оперативный центр экстренных служб на уч №2 Торткудук мест Моинкум
26;26. Гидрав сети распр-я пром растворов к блокам TNU-19, TNU-20..TNU-39 на уч №2 Торткудук Северный мест Моинкум
27;27. Станции моек фильтров участок №1 Моинкум и №2 Торткудук месторождения Моинкум
28;28. Строительство гид сетей трубопроводов распр-я пром растворов к блокам MSU-32, MSU-34, MSU-36 и MSU-40 на уч №1 Южный Моинкум
29;29. Временные склады для хранения газовых баллонов на участке №1 Южный Моинкум | 29. Временные склады для хранения газовых баллонов на участке №2 Торткудук месторождения Моинкум
3;3. Увеличение производственной мощности на участке №2 Торткудук месторождения Моинкум - Increase of Production Capacity at Site № 2 Tortkuduk, Muyunkum Deposit
30;30. Пешеходный тротуар на уч №2 Торткудук мест Моинкум
31;31. Реконструкция гид сетей распределения промыш растворов мест Моинкум. Разработка средств защиты трубпр-в.
32;32. Строительство гид сетей трубопроводов распр-я пром растворов к блокам MSU-19, MSU-21, MSU-23 и MSU-25 на уч №1 Южный мест Моинкум
33;33. Нестандартное оборудование на участке №1 Южный месторождения Моинкум - Non-standard equipment at Site № 1 South, Muyunkum Deposit
34;34. Нестандартное оборудование на участке №2 Торткудук месторождения Моинкум - Non-standard equipment at Site № 2 Tortkuduk, Muyunkum Deposit
35;35. Строительство гид сетей трубопроводов распр-я пром растворов к блоку MSU-27 трубопроводной сети на уч №1 Южный мест Моинкум
36;36. Реконструкция секции 500 ЦППР участка №2 Торткудук мест. Моинкум - Reconstruction of section 500 of the treatment workshop at Site № 2 Tortkuduk of Muyunkum deposit
37;37. Реконструкция объектов на промплощадке участка №2 Торткудук мест Моинкум - Reconstruction of objects at TKDS
38;38. Строительство гид сетей распред промыш растворов к блокам MSU-42,44,46,48,50,52,54,56,58,60,68 на уч №1 Южный Моинкум
39;39. Строительство гид сетей трубопроводов распред промыш растворов к блокам MSU-57,59,61,63 на уч №1 Южный Моинкум
4;4. Увеличение производственной мощности на участке №1 Южный месторождения Моинкум - Increase of Production Capacity at Site № 1 South, Muyunkum Deposit
40;40. Строительство гид сетей трубопроводов распред промыш растворов к блокам MSU-39,41,43,45 на уч №1 Южный Моинкум
41;41. Строительство байпас линии трубопро-в распр-я пром растворов к тех полю 1 подуч Северный уч №2 Торткудук мест Моинкум
42;42. Строительство гид сетей трубопр-в распред-я промыш растворов к блокам TSU-39-51 и TSU-62 на уч №2 Торткудук мест Моинкум
43;43. Проект проведения натурного опыта подземного скважинного выщелачивания на залежах 17y и 9u+11u
44;44. Сгуститель S530 в здании ЦППР на участке №2 Торткудук мест Моинкум
45;45. Модернизация наружных сетей водоснабжения и их разделение на участке №1 Южный Моинкум
46;46. Реконструкция и расширение системы пожар сигнализации на уч №1 Южный мест Моинкум
47;47. Модернизация сущ наруж сетей противопожар водоснабжения, явл-ся частью проекта 4631
48;48. Реконструкция ангара и технолог линии для произв-ва бурового раствора на уч.№1 Южный мест Моникум
49;"49. Строительство автомойки на участке №1 ""Южный"" месторождения Моинкум"
5;5. Расширение-2 существующего вахтового лагеря КАТКО до 1000 человек на участке Торткудуке - Increasing-2  of existing Base Camp Katco till 1000 persons on parcel Tortkuduk
50;50. Пункт захоронения твердо-бытовых отходов на участке №2 Торткудук Южный площадью 2,3 га
51;51. Строительство гидрав сетей трубопроводов распред промыш растворов к блокам TNU 15-18 уч №2 Торткудук Северный мест Моинкум
6;6. Временный лагерь для подрядчиков на участке Торткудук, месторождения Моинкум
7;"7. Расширение-2 существующего вахтового лагеря """"КАТКО"""" до 1000 человек на участке Торткудуке. Пусковой комплекс. Фаза 1А - Increasing-2  of existing Base Camp """"Katco"""" till 1000 persons on parcel Tortkuduk. Phase 1A"
8;8. Перепроектирование Временного лагеря для подрядчиков на участке Торткудук, месторождения Моинкум - Redesign of Contractor camp on parcel Tortkuduk of Muyunkum Deposit
9;9. Склад дизельного топлива объемом 500м3 на участке Торткудук Южный - Diesel fuel storage volume 500 m3 at site Tortkuduk South
